NAME,DESCRIPTION,HOLIDAY NAME,START DATE,END DATE
HolidaysSpain2024,Public holidays in Spain for 2024,,,
HolidaysSpain2024,,New Year Day,2024-01-01,2024-01-01
HolidaysSpain2024,,Epiphany,2024-01-06,2024-01-06
HolidaysSpain2024,,San Jose,2024-03-19,2024-03-19
HolidaysSpain2024,,Maundy Thursday,2024-03-28,2024-03-28
HolidaysSpain2024,,Good Friday,2024-03-29,2024-03-29
HolidaysSpain2024,,Easter Monday,2024-04-01,2024-04-01
HolidaysSpain2024,,Labor Day,2024-05-01,2024-05-01
HolidaysSpain2024,,Assumption Day,2024-08-15,2024-08-15
HolidaysSpain2024,,Hispanic Day,2024-10-12,2024-10-12
HolidaysSpain2024,,All Saints Day,2024-11-01,2024-11-01
HolidaysSpain2024,,Constitution Day,2024-12-06,2024-12-06
HolidaysSpain2024,,Immaculate Conception Day,2024-12-08,2024-12-08
HolidaysSpain2024,,Christmas Day,2024-12-25,2024-12-25
HolidaysSpain2024,,Day after Christmas,2024-12-26,2024-12-26